"con-of-mass-rfile"
"Iteration" "con-of-mass"
("Iteration" "con-of-mass")
1 0.04602237834506262
2 0.1290273091502581
3 0.2349747915277547
4 0.08653920547276783
5 0.02114118934142795
6 0.02308324427557729
7 0.01906565196505738
8 0.01992369698518637
9 0.02486286167464513
10 -0.03178152069553342
11 0.00209304421255041
12 -0.007250064490525787
13 -0.009225891015566035
14 -0.04752596445688617
15 -0.06537264556737021
16 -0.04216231240271107
17 -0.04945247858499435
18 -0.0454840946216386
19 -0.05002249674354786
20 -0.06577241321998528
21 -0.03387107499528952
22 -0.0443886878346138
23 -0.06550072342887781
24 -0.06398722198168016
25 -0.04026958571157024
26 -0.04982822523518848
27 -0.0004374496132371064
28 -0.0102631167471916
29 -0.007210230278811736
30 -0.01729946231718849
31 -0.02650148433309951
32 -0.03070750942872458
33 -0.01823737130508007
34 -0.007110417959525606
35 -0.003967522814384949
36 -0.0005384260457645951
37 0.004206575892862219
38 -0.002070971402828192
39 0.0001521223336613531
40 -0.007034956320847385
41 -0.005668133201705672
42 0.00206789573128674
43 0.01266383146727001
44 0.01003349229517525
45 0.01412044859505102
46 0.0115076120764499
47 -0.007229744955449036
48 -0.01481874820299822
49 -0.01578144750689248
50 0.00366269815030229
51 0.008725544927665752
52 0.0009296065322903502
53 -0.007390609380516722
54 0.003532220287032928
55 0.009809865226049652
56 0.02242003296563944
57 0.02791926961916147
58 0.02178875905873134
59 0.0188573827249634
60 0.02081179856307003
61 0.03048048787710655
62 0.03552015105761264
63 0.03961729730813168
64 0.04133597123066757
65 0.02271080644429446
66 0.03371578304560785
67 0.01354149129605631
68 0.00528080573945644
69 0.005905144201109991
70 -0.001668667103482235
71 -0.002955329261286721
72 -0.004033171841136607
73 -0.004598392579692856
74 -0.0001196763315061133
75 -0.007200418095193228
76 -0.01184508418285013
77 -0.01196745631834162
78 -0.01047431695569934
79 -0.009833825999129076
80 -0.009887858717187115
81 -0.009865953836927233
82 -0.009570991815506247
83 -0.009289405596955902
84 -0.007040897437006421
85 -0.005547247736126693
86 -0.003662066346889148
87 -0.001511989793725022
88 0.0002947229783476502
89 0.002018641311156699
90 0.003376291615865057
91 0.004121842184453328
92 0.003848160400268696
93 0.003784914704857201
94 0.003723860385978384
95 0.003678777947442313
96 0.00376595547609071
97 0.003943926766742933
98 0.004061495267256632
99 0.004082001014905856
100 0.00391100608362116
101 0.001732638072159176
102 0.001187219908572956
103 0.0007532051587446631
104 0.0002857969812435357
105 -0.0001301517956733278
106 -0.0004453205455181575
107 -0.0005428467249224411
108 0.0004167505495846768
109 -0.0007895712560674895
110 1.611079071572874e-05
111 -0.0008063475994148916
112 -0.0001208710049240835
113 -0.0005710877983933216
114 -0.0008807918056703556
115 -0.0009768787731250228
116 -0.0008506259281109152
117 -0.0009817673418055506
118 -0.001042220213241407
119 -0.001037423323721143
120 -0.0009398754987230973
121 -0.0009082658798877929
122 -0.0008566996264143256
123 -0.0008015345693959119
124 -0.0007546706129790692
125 -0.0007119957603318738
126 -0.0006281397101517427
127 -0.0005800389548529239
128 -0.0005478984903177775
129 -0.0004968868289836337
130 -0.0005163539913635162
